Benin,BEN,1990,1811,
Burkina Faso,BFA,1990,1286,
Cape Verde,CPV,1990,1965,
Equatorial Guinea,GNQ,1990,2474,
Gambia,GMB,1990,1400,
Ghana,GHA,1990,1693,
Guinea,GIN,1990,861,
Guinea-Bissau,GNB,1990,1270,
Liberia,LBR,1990,1690,
Mali,MLI,1990,1191,
Mauritania,MRT,1990,1511,
Niger,NER,1990,872,
Nigeria,NGA,1990,1773,
Senegal,SEN,1990,1999,
Sierra Leone,SLE,1990,1635,
Togo,TGO,1990,1275,
